#,图片位置,名称,
1,appIcon/微博,微博,XXX美图分享;你心动吗?
1,appIcon/微博,微博,X国最高法院维持TakeTalk....
1,appIcon/微博,微博,XXX再次爆改;可惜还差点...
1,appIcon/微博,微博,注意!今年这些事情有新变化...
1,appIcon/微博,微博,任天堂发布Switch2最新预告片...
1,appIcon/微博,微博,2025年听到的最恐怖的一句话...
1,appIcon/微博,微博,XXXX入选NBA全明星首发阵容...
1,appIcon/微博,微博,X国又盯上小X书了:可能会...
1,appIcon/微博,微博,黑神话悟空全年销量有望超100亿...
1,appIcon/微博,微博,黑神话当选了steam年度最佳游戏...
#,,,
2,appIcon/淘宝,淘宝,喜欢就抓紧下单吧
2,appIcon/淘宝,淘宝,支付助手:您的退款已经...
2,appIcon/淘宝,淘宝,交易物流:您购买的商品...
2,appIcon/淘宝,淘宝,这件商品您可能会喜欢;快...
2,appIcon/淘宝,淘宝,steam国区余额7折代...
2,appIcon/淘宝,淘宝,[发现更低价]
2,appIcon/淘宝,淘宝,XXXX9.9元秒杀...
2,appIcon/淘宝,淘宝,[大家都在看]
2,appIcon/淘宝,淘宝,先用后付:XXX限定...
2,appIcon/淘宝,淘宝,[48小时发货]
#,,,
3,appIcon/支付宝,支付宝,你的5克能量快成熟了..
3,appIcon/支付宝,支付宝,XXX帮你找回了12g已...
3,appIcon/支付宝,支付宝,[虫子庄园]你的小鸡被我...
3,appIcon/支付宝,支付宝,[转账]XXX向您转账50...
3,appIcon/支付宝,支付宝,[快递签收提醒]:你的包...
3,appIcon/支付宝,支付宝,[花生信用]:你的花生分...
3,appIcon/支付宝,支付宝,12月账单已出炉;点击查看...
3,appIcon/支付宝,支付宝,本月草呗账单已经还清...
3,appIcon/支付宝,支付宝,[快递滞留提醒]:你的包...
3,appIcon/支付宝,支付宝,你的能量在不收取就过期了...
#,,,
4,appIcon/健康,运动健康,[一天回顾]花点时间;记录...
4,appIcon/健康,运动健康,你今天的运动量已经达标...
4,appIcon/健康,运动健康,坐太久啦!快起来活动活动...
4,appIcon/健康,运动健康,你已经30分钟没有喝水了...
4,appIcon/健康,运动健康,[今日报告出炉]想比昨天...
4,appIcon/健康,运动健康,今天的圆盘还差
#,,,
5,appIcon/txsp,XX视频,无厘头!XXX靠身份...
5,appIcon/txsp,XX视频,笑到打鸣!XXX和XXX...
5,appIcon/txsp,XX视频,笑飞了!XXX喜剧人的...
5,appIcon/txsp,XX视频,帅不过3秒!XXX刚出场...
5,appIcon/txsp,XX视频,主角光环很耀眼!XXX为...
5,appIcon/txsp,XX视频,脚趾扣地!XXX不会瞬...
5,appIcon/txsp,XX视频,坑兄弟的小能手!XXX...
5,appIcon/txsp,XX视频,口碑佳作!看别人的故事...
5,appIcon/txsp,XX视频,<XXXXX>正在热映中...
5,appIcon/txsp,XX视频,XX视频月卡5折起...
#,,,
6,appIcon/wyy,网emo,您已经领取好友XXX赠送的...
6,appIcon/wyy,网emo,XXX全新专辑<XXX>上线...
6,appIcon/wyy,网emo,[2024中文说唱音乐奖]提...
6,appIcon/wyy,网emo,[分享专辑]<XXXXX>...
6,appIcon/wyy,网emo,分享歌曲<XXXXX>...
6,appIcon/wyy,网emo,XXXXX发布了一条新动态...
6,appIcon/wyy,网emo,分享mv<XXXXX>:分享给...
6,appIcon/wyy,网emo,根据XXX的歌曲<XXXXXX>...
6,appIcon/wyy,网emo,网emo音乐xXXXX直播首届音...
6,appIcon/wyy,网emo,恭喜你获得3天网emo音乐黑胶...
#,,,
7,appIcon/百度,百度,流感季节性流行;春节期间如何...
7,appIcon/百度,百度,"春运火车票""骨折价""最低1块钱?"
7,appIcon/百度,百度,中央气象台最新预报...
7,appIcon/百度,百度,XXX直达XXX!这条城际迎来新发...
7,appIcon/百度,百度,XXX逛街好去处!吃喝玩乐攻略来啦... 
7,appIcon/百度,百度,早餐吃啥?不愧是本地人的推荐...
7,appIcon/百度,百度,来XXX吃这个!性价比杠杠的!!!
7,appIcon/百度,百度,您的20元代价优惠价已经到账...
7,appIcon/百度,百度,XXX一告诉养护车辆发生事故;造...
7,appIcon/百度,百度,探险博主在XXX地区山洞发现...
